word,phon
Exzesse,ɛkstsɛsə
dampfgegart,dampfɡəɡaɐt
mannhafterem,manhaftəʁəm
Danke,daŋkə
demütigste,demytɪçstə
desillusioniere,dɛsʔɪluzioniʁə
empirischste,ɛmpiʁɪʃstə
tändle,tɛndlə
Haustaube,haʊstaʊbə
besticke,bəʃtɪkə
umrechnend,ʊmʁɛçnənt
hundemüdem,hʊndəmydəm
vorzüglichste,foɐtsyklɪçstə
Salzdomen,zaltsdomən
keifend,kaɪfnt
flacheres,flaxəʁəs
erschlügt,ɛɐʃlykt
Pampe,pampə
libanesisches,libanezɪʃəs
Kremsers,kʁɛmzɐs
kalktest,kalktəst
Königstürmen,kønɪçstʏʁmən
Wassermangel,vasɐmaŋl
Dankgebets,daŋkɡəbets
Sühnekreuz,zynəkʁɔɪts
Internetsurfer,ɪntɐnɛtzœʁfɐ
zuschnittest,tsuʃnɪtəst
Arraks,aʁaks
abgeatmet,apɡəʔatmət
seiltest,zaɪltəst
wägte,vɛktə
verlöret,fɛɐløʁət
beschwägere,bəʃvɛɡəʁə
Blumenampeln,blumənʔampln
dekorativerem,dekoʁativəʁəm
repressiven,ʁepʁɛsivn
Wintersemestern,vɪntɐzemɛstɐn
Enddreißigerin,ɛntdʁaɪsɪɡəʁɪn
Steigaale,ʃtaɪkʔalə
Knopf,knɔpf
schlackere,ʃlakəʁə
guthabest,ɡuthabəst
Ziegler,tsiɡlɐ
mannhafteren,manhaftəʁən
Sauertopfs,zaʊɐtɔpfs
Südafrikanern,zytʔafʁikanɐn
Fotomontagen,fotomɔntaʒn
formelle,fɔʁmɛlə
einsprang,aɪnʃpʁaŋ
vergleichbarere,fɛɐɡlaɪçbaʁəʁə
gesuchtestem,ɡəzuxtəstəm
Aalkorbe,alkɔʁbə
Fragmente,fʁaɡmɛntə
monologisiertet,monoloɡiziɐtət
Aprilwetters,apʁɪlvɛtɐs
spätrömischer,ʃpɛtʁømɪʃɐ
Wolfsfelles,vɔlfsfɛləs
Betrügern,bətʁyɡɐn
Erbrochenes,ɛɐbʁɔxənəs
Goldarmbändern,ɡɔltʔaʁmbɛndɐn
indexieret,ɪndɛksiʁət
subfebrilen,zʊpfebʁilən
aubergine,obɐʒinə
kanzerogene,kantsəʁoɡenə
fliehendem,fliəndəm
fantastischere,fantastɪʃəʁə
ausgedehnteres,aʊsɡədentəʁəs
eigenständige,aɪɡnʃtɛndɪɡə
vinophiler,vinofilɐ
leistungsstark,laɪstʊŋsʃtaʁk
widerfahrend,vidɐfaʁənt
verzogst,fɛɐtsokst
adretteste,adʁɛtəstə
Brustbein,bʁʊstbaɪn
Solarkochern,zolaɐkɔxɐn
Holzgerüche,hɔltsɡəʁʏçə
gelegenen,ɡəleɡənən
Klubobmänner,klʊpɔpmɛnɐ
Lärmschutze,lɛʁmʃʊtsə
Vorteilen,fɔʁtaɪlən
irrationalstes,ɪʁatsionalstəs
Heilkünste,haɪlkʏnstə
Stoppelbart,ʃtɔplbaɐt
Großoffensiven,ɡʁosʔɔfɛnzivn
kohlschwarze,kolʃvaʁtsə
tieftrauriges,tiftʁaʊʁɪɡəs
flüchtigste,flʏçtɪçstə
Drogenrouten,dʁoɡnʁutn
Fylker,fʏlkɐ
moribunder,moʁibʊndɐ
sabbelte,zabltə
abwäget,apvɛɡət
Wiesennebels,viznnebls
Zirbelnuss,tsɪʁblnʊs
Kettenrades,kɛtnʁadəs
Phänomenologie,fɛnomenoloɡi
Wirrnissen,vɪʁnɪsn
Gemeinwohl,ɡəmaɪnvol
aleatorisch,aleatoʁɪʃ
Ausspannung,aʊsʃpanʊŋ
allmächtigeres,almɛçtɪɡəʁəs
Pokalspiels,pokalʃpils
lernt,lɛʁnt
Bauernhöfen,baʊɐnhøfn
verkrebsteren,fɛɐkʁepstəʁən
Gewissensgrunde,ɡəvɪsnsɡʁʊndə
verkündigen,fɛɐkʏndɪɡn
Staatsamts,ʃtatsʔamts
berauschend,bəʁaʊʃnt
Nahrungsbedarf,naʁʊŋsbədaʁf
entwischest,ɛntvɪʃəst
Schienbeinkopf,ʃinbaɪnkɔpf
Sanitätsdienst,zanitɛtsdinst
Leitantrags,laɪtʔantʁaks
sexest,zɛksəst
anpickend,anpɪknt
flimmere,flɪməʁə
ergetz,ɛɐɡɛts
Schnuddels,ʃnʊdls
gefühlsbetonte,ɡəfylsbətontə
Segelbooten,zeɡlbotn
wirrste,vɪʁstə
Weinjahrs,vaɪnjaɐs
Doppelzimmern,dɔpltsɪmɐn
nachfolgender,naxfɔlɡndɐ
ausstattetet,aʊsʃtatətət
Riege,ʁiɡə
Geodreiecke,ɡeodʁaɪʔɛkə
seelenruhigerem,zelənʁuɪɡəʁəm
kitzlest,kɪtsləst
versehentlichem,fɛɐzeəntlɪçm
Buntbuches,bʊntbuxəs
Xanthelasma,ksantelasma
dastandest,daʃtandəst
Firmenlogos,fɪʁmənloɡos
rodetest,ʁodətəst
innovierst,ɪnoviɐst
dionysischen,dionyzɪʃn
Lucianerin,lutsianəʁɪn
Kollektivität,kɔlɛktivitɛt
Dichten,dɪçtn
Streusels,ʃtʁɔɪzls
trenz,tʁɛnts
radioaktivste,ʁadioʔaktifstə
abwärtsfahret,apvɛʁtsfaʁət
Krangels,kʁaŋls
Stoßzahn,ʃtostsan
unkundigere,ʊnkʊndɪɡəʁə
auszont,aʊstsont
etablierterem,etabliɐtəʁəm
vorteilhafterer,fɔʁtaɪlhaftəʁɐ
verdoppel,fɛɐdɔpl
Staubstürme,ʃtaʊpʃtʏʁmə
My,my
Mondbooten,montbotn
Deutschland,dɔɪtʃlant
Chiromant,çiʁomant
Rettungsschirm,ʁɛtʊŋsʃɪʁm
unerfahrene,ʊnʔɛɐfaʁənə
Abschlussballe,apʃlʊsbalə
alleinstehen,alaɪnʃteən
Swingerklubs,svɪŋɐklʊps
Bergamotten,bɛʁɡamɔtn
zertifizierst,tsɛʁtifitsiɐst
Dreirade,dʁaɪʁadə
ritterlichste,ʁɪtɐlɪçstə
bewertetet,bəveɐtətət
Steinläusen,ʃtaɪnlɔɪzn
Entlobungen,ɛntlobʊŋən
Südsternhimmel,zytʃtɛʁnhɪml
fangfrischester,faŋfʁɪʃəstɐ
priapeische,pʁiapeɪʃə
verspiel,fɛɐʃpil
abspinnest,apʃpɪnəst
Mittelbauer,mɪtlbaʊɐ
venerischem,veneʁɪʃm
katharischer,kataʁɪʃɐ
Judenspanischs,judnʃpanɪʃs
abbröckeltest,apbʁœkəltəst
Schwanes,ʃvanəs
lucianischere,lutsianɪʃəʁə
Schlüsselkinds,ʃlʏslkɪnts
Misserfolgs,mɪsʔɛɐfɔlks
etablierteren,etabliɐtəʁən
weggehet,vɛkɡeət
xylographischem,ksyloɡʁafɪʃm
hagreres,haɡʁəʁəs
Tillys,tɪlis
Gartenstuhls,ɡaʁtnʃtuls
Themenbereich,temənbəʁaɪç
alimentiere,alimɛntiʁə
Tagwerks,takvɛʁks
Sitznachbarin,zɪtsnaxbaʁɪn
spratzt,ʃpʁatst
greisenhaftem,ɡʁaɪznhaftəm
Untertiteln,ʊntɐtitln
betonne,bətɔnə
Vorkriegsmodell,foɐkʁiksmodɛl
syntagmatisches,zʏntaɡmatɪʃəs
Hotelschiffes,hotɛlʃɪfəs
bierernst,biɐʔɛʁnst
röntgenisierst,ʁœntɡənisiɐst
Psychotikern,psyçotɪkɐn
einäschrest,aɪnʔɛʃʁəst
Absentismen,apzɛntɪsmən
bösartigerer,bøsʔaɐtɪɡəʁɐ
bewohntes,bəvontəs
Duschtassen,dʊʃtasn
unschuldige,ʊnʃʊldɪɡə
fruchtlosem,fʁʊxtlozm
Kriegsbeginns,kʁiksbəɡɪns
sennst,zɛnst
rannte,ʁantə
findigen,fɪndɪɡn
Tös,tøs
Hygroskopie,hyɡʁoskopi
Ghanaers,ɡanaɐs
Teilhardina,tɛjaʁdina
Bleigießen,blaɪɡisn
kontextsensitiv,kɔntɛkstzɛnzitif
sattle,zatlə
schniegelten,ʃniɡltn
Beutelbuches,bɔɪtlbuxəs
Ziellinien,tsilliniən
Kinderheilkunde,kɪndɐhaɪlkʊndə
Mayas,majas
Ranks,ʁaŋks
exakte,ɛksaktə
Lämmer,lɛmɐ
abstimmest,apʃtɪməst
eich,aɪç
Polizeihunde,politsaɪhʊndə
Tahitis,tahitis
Zänkerinnen,tsɛŋkəʁɪnən
elternlosem,ɛltɐnlozm
keltern,kɛltɐn
reincheckest,ʁaɪntʃɛkəst
Säger,zɛɡɐ
Buffs,bafs
gekrümmteren,ɡəkʁʏmtəʁən
Nebenwinkels,nebnvɪŋkls
Luftballonen,lʊftbalonən
zinkte,tsɪŋktə
mimetischerer,mimetɪʃəʁɐ
bilabialer,bilabialɐ
kriminellster,kʁiminɛlstɐ
verkamt,fɛɐkamt
fleddret,flɛdʁət
salzärmeren,zaltsʔɛʁməʁən
Sems,zems
Lump,lʊmp
integeren,ɪnteɡəʁən
konsequentere,kɔnzekvɛntəʁə
Schot,ʃot
kündetest,kʏndətəst
alkalischste,alkalɪʃstə
supponierend,zʊponiʁənt
rohem,ʁoəm
Sublimates,zublimatəs
demoliertest,demoliɐtəst
Hederich,hedəʁɪç
Mizells,mitsɛls
Wiesenmonaten,viznmonatn
siebenten,zibntən
exzerpiere,ɛkstsɛʁpiʁə
Armutsgelübden,aʁmutsɡəlʏpdn
Birkenbüsche,bɪʁknbʏʃə
röterem,ʁøtəʁəm
stimmst,ʃtɪmst
Grillrooms,ɡʁɪlʁums
doppelsinnig,dɔplzɪnɪç
Tiers,tiɐs
grimassierten,ɡʁimasiɐtn
Vertragstextes,fɛɐtʁakstɛkstəs
Sexfilms,sɛksfɪlms
strudlet,ʃtʁudlət
Journaille,ʒʊʁnaljə
furzt,fʊʁtst
Westwaren,vɛstvaʁən
beschneidet,bəʃnaɪdət
lunsch,lʊnʃ
anträfe,antʁɛfə
Weintrinkers,vaɪntʁɪŋkɐs
Abbrände,apbʁɛndə
gutachtest,ɡutʔaxtəst
mitteilsamerer,mɪttaɪlzaməʁɐ
Ansätze,anzɛtsə
grübelnd,ɡʁyblnt
vorfeldfähiges,foɐfɛltfɛɪɡəs
Banachräumen,banaxʁɔɪmən
Franzburg,fʁantsbʊʁk
Freistoße,fʁaɪʃtosə
Schlosshunds,ʃlɔshʊnts
herbstlichstem,hɛʁpstlɪçstəm
frittiertet,fʁɪtiɐtət
wehleidige,velaɪdɪɡə
verpeiltem,fɛɐpaɪltəm
Römerbrücken,ʁømɐbʁʏkn
Schrate,ʃʁatə
haftfähigere,haftfɛɪɡəʁə
Sehgewohnheiten,zeɡəvonhaɪtn
iranisches,iʁanɪʃəs
lupfe,lʊpfə
Aserbeidschan,azɛʁbaɪdʒan
schussligste,ʃʊslɪçstə
rautenförmiger,ʁaʊtnfœʁmɪɡɐ
labelten,lɛɪbltn
Stummels,ʃtʊmls
Elektrik,elɛktʁɪk
Nachentgelts,naxʔɛntɡɛlts
flektierende,flɛktiʁəndə
Erbbilds,ɛʁpbɪlts
Nilgänse,nilɡɛnzə
kartoffeligstem,kaʁtɔfəlɪçstəm
layouteten,leʔaʊtətn
Intensivstation,ɪntɛnzifʃtatsion
bewachsend,bəvaksnt
närrischster,nɛʁɪʃstɐ
Kiefernzapfens,kifɐntsapfns
dampfgartet,dampfɡaɐtət
würflig,vʏʁflɪç
begrüßtet,bəɡʁystət
versprängst,fɛɐʃpʁɛŋst
Teufelskreises,tɔɪflskʁaɪzəs
entlohn,ɛntlon
livideres,lividəʁəs
Leopardenfelles,leopaʁdnfɛləs
Satzanfang,zatsʔanfaŋ
vollbusig,fɔlbuzɪç
Geruchsprobe,ɡəʁʊxspʁobə
jetziger,jɛtsɪɡɐ
gutachterlichem,ɡutʔaxtɐlɪçm
Schwartenmägen,ʃvaʁtnmɛɡŋ̩
sprengt,ʃpʁɛŋt
verhaltene,fɛɐhaltənə
zerschlag,tsɛɐʃlak
konfluentem,kɔnfluɛntəm
beklecksend,bəklɛksnt
fremdginget,fʁɛmtɡɪŋət
lindgrünstes,lɪntɡʁynstəs
präteritale,pʁɛteʁitalə
schmächtigste,ʃmɛçtɪçstə
hinterfragend,hɪntɐfʁaɡnt
nachprüfest,naxpʁyfəst
gekohlt,ɡəkolt
frotzel,fʁɔtsl
gabelförmiges,ɡablfœʁmɪɡəs
stukst,ʃtukst
Stuffenjahres,ʃtʊfnjaʁəs
Weinkaufes,vaɪnkaʊfəs
Eisdecken,aɪsdɛkn
Kinematographen,kinematoɡʁafn
verpeiltes,fɛɐpaɪltəs
Stoppers,ʃtɔpɐs
Sonde,zɔndə
Mazedone,matsədonə
schlingerst,ʃlɪŋɐst
ersetzend,ɛɐzɛtsənt
Dachstübchens,daxʃtypçəns
Zephalothorax,tsefalotoʁaks
Stiefelette,ʃtifəlɛtə
Waschkrugs,vaʃkʁuks
verzeichnete,fɛɐtsaɪçnətə
Venezianischen,venetsianɪʃn
Einwohnerzahlen,aɪnvonɐtsalən
schnalzen,ʃnaltsn
besamtest,bəzamtəst
innervierst,ɪnɛʁviɐst
randomisierst,ʁandomiziɐst
Hirschkühen,hɪʁʃkyən
herleitest,heɐlaɪtəst
sadistischstes,zadɪstɪʃstəs
sahnigere,zanɪɡəʁə
Gebräu,ɡəbʁɔɪ
richtigster,ʁɪçtɪçstɐ
Schneeregens,ʃneʁeɡns
Schlagbaumes,ʃlakbaʊməs
anbiedertet,anbidɐtət
Aktionäres,aktsionɛʁəs
Ankerspillen,aŋkɐʃpɪlən
Einmachglas,aɪnmaxɡlas
wählerischen,vɛləʁɪʃn
näsele,nɛzələ
fähiges,fɛɪɡəs
leckere,lɛkəʁə
gejobbt,ɡədʒɔpt
Randbauer,ʁantbaʊɐ
herausnähmest,hɛʁaʊsnɛməst
Nutzgarten,nʊtsɡaʁtn
Teebüchse,tebʏksə
Aufklärern,aʊfklɛʁɐn
abzufasen,aptsufazn
dödeltest,dødltəst
Narbenkeloides,naʁbnkeloidəs
Haarspraylungen,haɐʃpʁelʊŋən
Sozialräten,zotsialʁɛtn
einkoppel,aɪnkɔpl
Färöische,fɛʁøɪʃə
tränenreiche,tʁɛnənʁaɪçə
lexikalisierend,lɛksikaliziʁənt
lockernd,lɔkɐnt
Waldrande,valtʁandə
Ablehnungsquote,aplenʊŋskvotə
verpeiltest,fɛɐpaɪltəst
salonfähigstem,zalɔfɛɪçstəm
urgemütlichste,uɐɡəmytlɪçstə
Zahnfriese,tsanfʁizə
frackest,fʁɛkəst
Münchners,mʏnçnɐs
Pfirsichen,pfɪʁzɪçn
Staatsgebiet,ʃtatsɡəbit
durchgejagt,dʊʁçɡəjakt
legendenumwoben,leɡɛndnʔʊmvobn
Tunneleffektes,tʊnlʔɛfɛktəs
Herbstlaub,hɛʁpstlaʊp
auflehnte,aʊflentə
Eklat,ekla
Laminate,laminatə
wiedererkennte,vidɐʔɛɐkɛntə
pucktest,pʊktəst
Kämpferhölzer,kɛmpfɐhœltsɐ
scheltet,ʃɛltət
Kindes,kɪndəs
Sublimats,zublimats
rangigeres,ʁaŋɪɡəʁəs
Ausstöße,aʊsʃtøsə
verderbtestes,fɛɐdɛʁptəstəs
mindernd,mɪndɐnt
paradoxerweise,paʁadɔksɐvaɪzə
tripplet,tʁɪplət
Lyzeistin,lytseɪstɪn
durchbrächte,dʊʁçbʁɛçtə
Januartag,januaɐtak
Zaine,tsaɪnə
Standesrechten,ʃtandəsʁɛçtn
Hufnern,hufnɐn
Abtreibung,aptʁaɪbʊŋ
Regalwänden,ʁeɡalvɛndn
melioriere,melioʁiʁə
hautest,haʊtəst
knickert,knɪkɐt
genieren,ʒeniʁən
quantitativ,kvantitatif
Reuegefühl,ʁɔɪəɡəfyl
gutwilligster,ɡutvɪlɪçstɐ
Vogelflüge,foɡlflyɡə
Hohlpfenniges,holpfɛnɪɡəs
Schlachträume,ʃlaxtʁɔɪmə
Scheites,ʃaɪtəs
Latthämmer,lathɛmɐ
Forste,fɔʁstə
Dezibels,detsibɛls
reponiertest,ʁeponiɐtəst
vorpommersche,foɐpɔmɐʃə
Klingelstreichs,klɪŋlʃtʁaɪçs
Warzenschwein,vaʁtsnʃvaɪn
Glasaalen,ɡlasʔalən
Chefkoches,ʃɛfkɔxəs
Witmannes,vɪtmanəs
Quadern,kvadɐn
Tablare,tablaʁə
Tathergang,tatheɐɡaŋ
liebestoll,libəstɔl
verschalket,fɛɐʃalkət
Charme,ʃaʁm
Meinungen,maɪnʊŋən
moduliertet,moduliɐtət
langsamerem,laŋzaməʁəm
Studierstube,ʃtudiɐʃtubə
keuschester,kɔɪʃəstɐ
Rückenflosse,ʁʏknflɔsə
Agamemnon,aɡamɛmnɔn
schluckten,ʃlʊktn
Frühbucher,fʁybuxɐ
zehnprozentig,tsenpʁotsɛntɪç
Zänkerin,tsɛŋkəʁɪn
Jakobsweges,jakɔpsveɡəs
anordnetest,anʔɔʁdnətəst
aneklest,anʔekləst
Stockschlägen,ʃtɔkʃlɛɡn
steinzeitliches,ʃtaɪntsaɪtlɪçəs
Strafraume,ʃtʁafʁaʊmə
Nutzungsrechten,nʊtsʊŋsʁɛçtn
frugalerem,fʁuɡaləʁəm
Hobbyköchinnen,hɔbikœçɪnən
aufpecken,aʊfpɛkn
Passwortes,pasvɔʁtəs
Steuerfedern,ʃtɔɪɐfedɐn
Fritteusen,fʁɪtøzn
hellgrüner,hɛlɡʁynɐ
nachbildet,naxbɪldət
parierend,paʁiʁənt
einweihten,aɪnvaɪtn
Ladenlokal,ladnlokal
Holländern,hɔlɛndɐn
manipulativen,manipulativn
Rasuren,ʁazuʁən
runterholst,ʁʊntɐholst
wahrerem,vaʁəʁəm
Mühlen,mylən
bemeistern,bəmaɪstɐn
Kaiserpinguins,kaɪzɐpɪŋɡuins
ausgezehrt,aʊsɡətseɐt
Clubobmänner,klʊpɔpmɛnɐ
Lichthofes,lɪçthofəs
ländliche,lɛntlɪçə
malawischen,malavɪʃn
Marienkirche,maʁiənkɪʁçə
Pullovern,pʊlovɐn
umzustellen,ʊmtsuʃtɛlən
körperlichen,kœʁpɐlɪçn
organisch,ɔʁɡanɪʃ
Nackens,nakns
Wurzelzement,vʊʁtsltsemɛnt
Kindergelder,kɪndɐɡɛldɐ
Heptagon,hɛptaɡon
schussligen,ʃʊslɪɡn
atlantisch,atlantɪʃ
predigend,pʁedɪɡnt
mondänere,mɔndɛnəʁə
Treckerfahrers,tʁɛkɐfaʁɐs
Urantransportes,uʁantʁanspɔʁtəs
bürstetet,bʏʁstətət
siebenwöchigem,zibnvœçɪɡəm
weiträumigstem,vaɪtʁɔɪmɪçstəm
Steigerern,ʃtaɪɡəʁɐn
Zünglein,tsʏŋlaɪn
Wettkämpfern,vɛtkɛmpfɐn
anpackst,anpakst
topfitter,tɔpfɪtɐ
Kumulation,kumulatsion
Sendeschlusses,zɛndəʃlʊsəs
Europäer,ɔɪʁopɛɐ
hängst,hɛŋst
Feuerwehrleute,fɔɪɐveɐlɔɪtə
Cytoplasmas,tsytoplasmas
motorischerer,motoʁɪʃəʁɐ
Falzen,faltsn
Sattelpunkten,zatlpʊŋktn
Quadratdackel,kvadʁatdakl
Zweitberufes,tsvaɪtbəʁufəs
Erlenholzes,ɛʁlənhɔltsəs
radier,ʁadiɐ
Muskateller,mʊskatɛlɐ
Feldlazarett,fɛltlatsaʁɛt
Salzigkeit,zaltsɪçkaɪt
duckmäusern,dʊkmɔɪzɐn
Separatisten,zepaʁatɪstn
Falklandkriegs,falklantkʁiks
Alphazerfälle,alfatsɛɐfɛlə
iterierst,itəʁiɐst
Sendeturmes,zɛndətʊʁməs
Stammlokals,ʃtamlokals
katalanischerem,katalanɪʃəʁəm
behebe,bəhebə
Rentierhaut,ʁentiɐhaʊt
abgerissene,apɡəʁɪsənə
verbremste,fɛɐbʁɛmstə
barbadischen,baʁbadɪʃn
östlicherer,œstlɪçəʁɐ
Wischlappens,vɪʃlapns
kolossales,kolɔsaləs
konkavere,kɔŋkavəʁə
aufhaubtet,aʊfhaʊptət
Personalmangel,pɛʁzonalmaŋl
Lebenserfahrung,lebnsʔɛɐfaʁʊŋ
kriegerischerer,kʁiɡəʁɪʃəʁɐ
unterflogt,ʊntɐflokt
feuerfesteren,fɔɪɐfɛstəʁən
orthognathen,ɔʁtoɡnatn
filmest,fɪlməst
Wahlsonntagen,valzɔntaɡn
Insektariums,ɪnzɛktaʁiʊms
genügsameren,ɡənykzaməʁən
Pilzsammlerin,pɪltszamləʁɪn
degradieren,deɡʁadiʁən
Fluchttür,flʊxttyɐ
Dissonanzen,dɪsonantsən
vorherigem,foɐheʁɪɡəm
Bison,bizɔn
Traummann,tʁaʊmman
Poncho,pɔntʃo
schone,ʃonə
Impressen,ɪmpʁɛsn
Meeresvogels,meʁəsfoɡls
Fließ,flis
geparst,ɡəpaʁst
rumballerst,ʁʊmbalɐst
Insiderwitzes,ɪnzaɪdɐvɪtsəs
Assanierung,asaniʁʊŋ
verfestigten,fɛɐfɛstɪçtn
kursorischer,kʊʁzoʁɪʃɐ
Ligurien,liɡuʁiən
geknebelt,ɡəkneblt
unsozial,ʊnzotsial
belegbarer,bəlekbaʁɐ
Hausmanne,haʊsmanə
dekorieren,dekoʁiʁən
schaukelt,ʃaʊklt
karitatives,kaʁitativəs
Quartal,kvaʁtal
bebuschte,bəbʊʃtə
zwanghaftem,tsvaŋhaftəm
Sehnsuchtsorts,zenzʊxtsʔɔʁts
angehimmeltem,anɡəhɪmltəm
Südosten,zytʔɔstn
Minimalwerte,minimalveɐtə
fabuliertest,fabuliɐtəst
eintrichtertet,aɪntʁɪçtɐtət
vergaßt,fɛɐɡast
Gaskonaden,ɡaskonadn
wirklichem,vɪʁklɪçm
besorgteste,bəzɔʁktəstə
engherzigster,ɛŋhɛʁtsɪçstɐ
abdräscht,apdʁɛʃt
Kuheuter,kuʔɔɪtɐ
frischtet,fʁɪʃtət
emporstiegest,ɛmpoɐʃtiɡəst
entblättertet,ɛntblɛtɐtət
wildreichere,vɪltʁaɪçəʁə
Roadmovies,ʁotmuvis
kaputtes,kapʊtəs
aufwirbelt,aʊfvɪʁblt
ausschlösset,aʊsʃlœsət
entkolonisieret,ɛntkoloniziʁət
Hafnern,hafnɐn
Dampframme,dampfʁamə
salzhaltigster,zaltshaltɪçstɐ
Seitenspiegels,zaɪtnʃpiɡls
huschtest,hʊʃtəst
rutschtet,ʁʊtʃtət
bezahltet,bətsaltət
nymphenhafteres,nʏmfnhaftəʁəs
reinlichen,ʁaɪnlɪçn
Sherpa,ʃɛʁpa
demotivier,demotiviɐ
geruhsameren,ɡəʁuzaməʁən
Hardstyle,haɐtstaɪl
Amöbäum,amøbɛʊm
Beatmusik,bitmuzik
Adjektivstamme,atjɛktifʃtamə
ergötzlichem,ɛɐɡœtslɪçm
interlinguales,ɪntɐlɪŋɡu̯aləs
sticken,ʃtɪkn
ranzigere,ʁantsɪɡəʁə
Kanonenrohr,kanonənʁoɐ
abmurksen,apmʊʁksn
abgekapselt,apɡəkapslt
Geruchsmolekül,ɡəʁʊxsmolekyl
zerschieß,tsɛɐʃis
Achalasien,axalaziən
Schottern,ʃɔtɐn
auffallet,aʊffalət
abhing,aphɪŋ
zuredend,tsuʁednt
Sterntauchern,ʃtɛʁntaʊxɐn
abbummelet,apbʊmələt
Videobeweise,videobəvaɪzə
fischähnliche,fɪʃʔɛnlɪçə
wettmachend,vɛtmaxnt
Sitzbeins,zɪtsbaɪns
barbadische,baʁbadɪʃə
hampeltest,hampltəst
Liniergeräten,liniɐɡəʁɛtn
Sandbilds,zantbɪlts
ernüchternden,ɛɐnʏçtɐndn
Abiturzeugnis,abituɐtsɔɪɡnɪs
beklagenswertem,bəklaɡnsveɐtəm
Komplotten,kɔmplɔtn
Nationalgute,natsionalɡutə
Sprengels,ʃpʁɛŋls
skabrösestes,skabʁøzəstəs
Bonnerinnen,bɔnəʁɪnən
kletterten,klɛtɐtn
Abbrüchen,apbʁʏçn
ekele,ekələ
Vordersätzen,fɔʁdɐzɛtsn
Kühnapfel,kynʔapfl
strengerem,ʃtʁɛŋəʁəm
Retikulum,ʁetikulʊm
Ciabatte,tʃabatə
ideologischeren,ideoloɡɪʃəʁən
dremmlest,dʁɛmləst
Spielgerät,ʃpilɡəʁɛt
Orgien,ɔʁɡiən
Bantusprache,bantuʃpʁaxə
Gemüsesuppen,ɡəmyzəzʊpən
emporgehoben,ɛmpoɐɡəhobn
Abwurf,apvʊʁf
Gemüse,ɡəmyzə
Bestechung,bəʃtɛçʊŋ
durchnahm,dʊʁçnam
Spaziergängen,ʃpatsiɐɡɛŋən
startklar,ʃtaʁtklaɐ
herumdrucksest,hɛʁʊmdʁʊksəst
Mädchenchores,mɛtçənkoʁəs
dünstetet,dʏnstətət
cleaneren,klinəʁən
fortstoßen,fɔʁtʃtosn
lebe,lebə
Ladendiebstahl,ladndipʃtal
Abdeckbande,apdɛkbandə
Mathelehrers,matəleʁɐs
gaffet,ɡafət
rituellste,ʁituɛlstə
auffallendster,aʊffaləntstɐ
keusche,kɔɪʃə
geplauscht,ɡəplaʊʃt
Naturpark,natuɐpaʁk
geisterhafteste,ɡaɪstɐhaftəstə
Stallfeinden,ʃtalfaɪndn
Bartes,baɐtəs
Maisonnettes,mɛzɔnɛts
mieses,mizəs
strauchelten,ʃtʁaʊxltn
sickert,zɪkɐt
Gegenions,ɡeɡnʔions
Preisnachlasses,pʁaɪsnaxlasəs
Holzfigur,hɔltsfiɡuɐ
Oberschlesien,obɐʃleziən
Allgewürzes,alɡəvʏʁtsəs
Nationalhymne,natsionalhʏmnə
abhetzten,aphɛtstn
tummlest,tʊmləst
Hypertrophien,hypɐtʁofiən
schüttend,ʃʏtnt
schlagfertig,ʃlakfɛʁtɪç
tagaktive,takʔaktivə
peruanisch,peʁuanɪʃ
Aussprüchen,aʊsʃpʁʏçn
abschalte,apʃaltə
Strafrichtern,ʃtʁafʁɪçtɐn
nutriertet,nutʁiɐtət
erigierest,eʁiɡiʁəst
gruslig,ɡʁuzlɪç
verklagte,fɛɐklaktə
Biberhund,bibɐhʊnt
schämte,ʃɛmtə
Sichtweite,zɪçtvaɪtə
busigen,buzɪɡn
subalternerer,zʊpʔaltɛʁnəʁɐ
ermannen,ɛɐmanən
nebelverhangen,neblfɛɐhaŋən
Ballerine,baləʁinə
Musikrichtungen,muzikʁɪçtʊŋən
Verschlüsse,fɛɐʃlʏsə
delogarithmiere,deloɡaʁɪtmiʁə
neunminütigen,nɔɪnminytɪɡn
aufatmetest,aʊfʔatmətəst
Rubels,ʁubls
Majos,majos
einfühlend,aɪnfylənt
blachere,blaxəʁə
Nachbarskindern,naxbaɐskɪndɐn
beschösse,bəʃœsə
septischeres,zɛptɪʃəʁəs
schändlichere,ʃɛntlɪçəʁə
vorgelesen,foɐɡəlezn
korpulentes,kɔʁpulɛntəs
simplifiziertet,zɪmplifitsiɐtət
erfrech,ɛɐfʁɛç
modellieret,modɛliʁət
zauderndstem,tsaʊdɐntstəm
Panelstudien,pɛnlʃtudiən
meißeltest,maɪsltəst
berußen,bəʁusn
Salettln,zalɛtln
Strippern,ʃtʁɪpɐn
rätselhaftere,ʁɛtslhaftəʁə
Knabenchören,knabnkøʁən
gerechtester,ɡəʁɛçtəstɐ
randomisierter,ʁandomiziɐtɐ
Damenturms,daməntʊʁms
schmollt,ʃmɔlt
ayurwedischer,ajʊʁvedɪʃɐ
verstoße,fɛɐʃtosə
Pilotprojekt,pilotpʁojɛkt
dürften,dʏʁftn
Mondsees,montzes
Arztes,aɐtstəs
Kivusee,kivuze
spurloses,ʃpuɐlozəs
Kriegshäfen,kʁikshɛfn
Krängungen,kʁɛŋʊŋən
wiederbeleben,vidɐbəlebn
Entsetzens,ɛntzɛtsns
Roten,ʁotən
